,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
26,Tycho,Past Is Prologue,Cloud Generator,0FokXo9HqLXMr4AyVemlcb,0.868,0.343,9,-11.317,0,0.0698,0.897,0.36,0.454,120.009,261293,4
27,Tycho,Past Is Prologue,Phoenix,1yAhBhgj0yXKSNSgwA7W9i,0.27,0.0703,2,-25.854,0,0.0399,0.705,0.1,0.18,72.764,86067,3
28,Tycho,Past Is Prologue,Send And Receive - Chachi Jones Remix,6x4x6EnufWQHVNGybYJF1S,0.63,0.619,9,-8.871,0,0.03,0.913,0.0944,0.26,95.006,357080,4
29,Tycho,Awake (Deluxe Version),Plains,1eueYfJA1ADnfghW90xxxf,0.384,0.333,5,-13.304,0,0.0314,0.767,0.647,0.0397,139.826,197184,4
30,Chequerboard,The Unfolding,Kestrel Rising,7BJ9IdbU8ArN9ZD0SMXApH,0.581,0.553,9,-9.537,0,0.0336,0.967,0.233,0.273,115.115,183779,4
31,Chequerboard,The Unfolding,The Unfolding,2GUKpUtQqJGguyNKUC7DlR,0.372,0.161,2,-16.966,1,0.0328,0.828,0.377,0.0965,157.555,404466,3
32,Explosions In The Sky,Manglehorn (Original Motion Picture Soundtrack),Hello!,6SZtWGjKULlJUW9sD5guhk,0.464,0.342,6,-19.402,1,0.0375,0.88,0.0741,0.0619,120.0,218960,4
33,Hammock,Maybe They Will Sing for Us Tomorrow,Gold Star Mothers,6fj0wMFyJLPOWXnUuwxXKT,0.0655,0.206,0,-15.466,1,0.0468,0.918,0.0736,0.0308,73.238,462480,5
34,Japanese Wallpaper,Japanese Wallpaper (Deluxe),Arrival,5sRclg7PPjvakws8COVa5S,0.474,0.214,11,-14.873,1,0.0318,0.621,0.0998,0.0394,115.014,315888,4
35,Adam Young,The Endurance,Ocean Camp,77HUL6RuRKZlYIgoErldxh,0.155,0.242,9,-22.761,1,0.0553,0.925,0.0885,0.263,141.14,243347,4
36,Adam Young,The Endurance,Abandon Ship,1xftUwu6qmcTgoTsVqADZk,0.186,0.0393,10,-31.09,1,0.0314,0.869,0.0995,0.117,59.304,248147,4
37,Adam Young,The Endurance,"She's Going, Boys",2RqxtBDY495TBrcbasjJLk,0.263,0.171,0,-33.687,1,0.0533,0.912,0.101,0.0392,78.953,226840,4
38,Adam Young,The Endurance,Elephant Island,7AJJqm8C3PCjR2ZEEbZflR,0.237,0.121,5,-21.945,1,0.0418,0.886,0.101,0.181,117.652,266560,4
39,Adam Young,The Endurance,800 Miles,7kU0KwT3Rh2qK9NW3tIxa3,0.189,0.0401,4,-27.259,1,0.0456,0.578,0.0856,0.0301,125.106,209960,5
40,Julien Marchal,Insight II,Insight XXIII,07vksUaY8FFvxVxGoPNxnU,0.462,0.177,0,-25.266,0,0.0391,0.93,0.11,0.279,80.136,190000,4
41,Hammock,"EPs, Singles and Remixes",South,265B2p4dQI79074FfrE1vE,0.0737,0.164,0,-16.567,1,0.0483,0.882,0.0763,0.0311,77.33,407450,1
42,Hammock,"The Sleepover Series, Vol. 2 (Bonus Track Version)",A Secret Hiding in the Open,2AH0k3GyMEpFNEaQ473jXY,0.2,0.181,6,-20.404,1,0.0572,0.886,0.118,0.0392,126.079,474053,4
43,Hammock,Raising Your Voice... Trying to Stop an Echo (Deluxe Edition),Passing Away,7kbEezmvGKoPbDUgCjHv80,0.148,0.247,4,-16.911,1,0.0357,0.888,0.106,0.0383,69.591,310162,5
44,Hammock,Maybe They Will Sing for Us Tomorrow,Three Sisters,52ftDoyBdXaCbQ2EVsp58m,0.162,0.121,2,-22.472,1,0.0512,0.74,0.111,0.034,70.818,265053,4
45,Hammock,Everything and Nothing,Marathon Boy,0QVTL2nnwTM9jfaPiXLX9I,0.166,0.242,1,-17.748,1,0.0347,0.884,0.104,0.0711,139.845,304307,5
46,Sad Souls,Apeiron,Cloud Speed,33x5orlhgXWVIVCHnqfs8S,0.334,0.0842,2,-24.786,1,0.0351,0.932,0.0795,0.109,139.466,185480,4
47,East Forest,Orbits,Limitations,6pP2A8xmx2aVMkHjVpau6S,0.251,0.189,2,-16.257,1,0.0384,0.894,0.557,0.0629,83.149,255627,4
48,Lowercase Noises,This Is for Our Sins,Silence of Siberia,21cUwlOjOehy98jgn29cTv,0.121,0.217,4,-18.448,1,0.0366,0.937,0.124,0.0362,80.207,446937,4
49,Luke Howard,Ten Sails,Oversky,16i48LRm5RQ3zx4IY57wGK,0.201,0.0062,9,-23.5,0,0.0418,0.872,0.0868,0.126,175.824,279000,4
50,Adam Young,Corduroy Road,Up With the Stars,1BLbS8ef2rBxtbV0tPpWNA,0.493,0.0934,10,-26.583,1,0.0423,0.916,0.104,0.208,88.035,94640,4
51,Tycho,Awake (Deluxe Version),Dye,08Z3vnfucOMerexVE2RR8w,0.547,0.758,9,-8.169,1,0.0308,0.931,0.235,0.308,156.035,317155,4
52,Lights & Motion,Chronicle,Paper Wings,4mgDeiu1EFuXrFXAoTqiFv,0.419,0.0177,0,-27.826,1,0.0405,0.82,0.1,0.0592,116.843,135440,4
53,Imogen Heap,Sparks (Deluxe Version),Climb to Sakteng,3ApUtLFimMhHLcPJau71y9,0.305,0.196,5,-17.198,1,0.0317,0.754,0.0788,0.0688,83.963,217840,4
