features_idx,not_features_idx,tracks,artists,Score,track_artist,song_writer
594,10138,1.0,1.0,2.0,Dictaphone's Lament_Tycho,Dictaphone’s Lament_Tycho
594,10139,1.0,1.0,2.0,Dictaphone's Lament_Tycho,Dictaphone’s Lament_Tycho
594,10140,1.0,1.0,2.0,Dictaphone's Lament_Tycho,Dictaphone’s Lament_Tycho
594,10141,1.0,1.0,2.0,Dictaphone's Lament_Tycho,Dictaphone’s Lament_Tycho
594,10142,1.0,1.0,2.0,Dictaphone's Lament_Tycho,Dictaphone’s Lament_Tycho
594,10143,1.0,1.0,2.0,Dictaphone's Lament_Tycho,Dictaphone’s Lament_Tycho
594,10144,1.0,1.0,2.0,Dictaphone's Lament_Tycho,Dictaphone’s Lament_Tycho
594,10145,1.0,1.0,2.0,Dictaphone's Lament_Tycho,Dictaphone’s Lament_Tycho
594,10146,1.0,1.0,2.0,Dictaphone's Lament_Tycho,Dictaphone’s Lament_Tycho
594,10147,1.0,1.0,2.0,Dictaphone's Lament_Tycho,Dictaphone’s Lament_Tycho
594,10148,1.0,1.0,2.0,Dictaphone's Lament_Tycho,Dictaphone’s Lament_Tycho
598,10479,1.0,1.0,2.0,The Ketchup Song (aserejé) - Spanglish Version_Las Ketchup,The Ketchup Song (asereje) - Spanglish Version_Las Ketchup
598,10480,1.0,1.0,2.0,The Ketchup Song (aserejé) - Spanglish Version_Las Ketchup,The Ketchup Song (asereje) - Spanglish Version_Las Ketchup
599,10770,1.0,1.0,2.0,Breathing Underwater - Ether Remix_Hollywood Principle,Breathing Underwater (ether Remix)_Hollywood Principle
599,10771,1.0,1.0,2.0,Breathing Underwater - Ether Remix_Hollywood Principle,Breathing Underwater (ether Remix)_Hollywood Principle
599,10772,1.0,1.0,2.0,Breathing Underwater - Ether Remix_Hollywood Principle,Breathing Underwater (ether Remix)_Hollywood Principle
599,10773,1.0,1.0,2.0,Breathing Underwater - Ether Remix_Hollywood Principle,Breathing Underwater (ether Remix)_Hollywood Principle
599,10774,1.0,1.0,2.0,Breathing Underwater - Ether Remix_Hollywood Principle,Breathing Underwater (ether Remix)_Hollywood Principle
599,10775,1.0,1.0,2.0,Breathing Underwater - Ether Remix_Hollywood Principle,Breathing Underwater (ether Remix)_Hollywood Principle
604,11119,1.0,1.0,2.0,Dancers_Axel Flóvent,Dancers_Axel Flovent
604,11120,1.0,1.0,2.0,Dancers_Axel Flóvent,Dancers_Axel Flovent
609,11153,1.0,1.0,2.0,Take A Bow - Live From Wembley Stadium_Muse,[take A Bow - Live From Wembley Stadium_Muse
617,11204,1.0,1.0,2.0,Scat Song_Mojo Juju & The Snake-oil Merchants,Scat Song_Mojo Juju & The Snake Oil Merchants
620,11299,1.0,1.0,2.0,Spiritual State (feat. Uyama Hiroto)_Nujabes,Spiritual State (feat. Usama Hiroto)_Nujabes
620,11300,1.0,1.0,2.0,Spiritual State (feat. Uyama Hiroto)_Nujabes,Spiritual State (feat. Usama Hiroto)_Nujabes
625,11448,1.0,1.0,2.0,If This Ship Sinks In (i Give In)_Birds Of Tokyo,If This Ship Sinks (i Give In)_Birds Of Tokyo
625,11449,1.0,1.0,2.0,If This Ship Sinks In (i Give In)_Birds Of Tokyo,If This Ship Sinks (i Give In)_Birds Of Tokyo
627,11480,1.0,1.0,2.0,Awake Asleep_Speaker Of The House,"Awake, Asleep_Speaker Of The House"
627,11481,1.0,1.0,2.0,Awake Asleep_Speaker Of The House,"Awake, Asleep_Speaker Of The House"
627,11482,1.0,1.0,2.0,Awake Asleep_Speaker Of The House,"Awake, Asleep_Speaker Of The House"
627,11483,1.0,1.0,2.0,Awake Asleep_Speaker Of The House,"Awake, Asleep_Speaker Of The House"
627,11484,1.0,1.0,2.0,Awake Asleep_Speaker Of The House,"Awake, Asleep_Speaker Of The House"
627,11485,1.0,1.0,2.0,Awake Asleep_Speaker Of The House,"Awake, Asleep_Speaker Of The House"
627,11486,1.0,1.0,2.0,Awake Asleep_Speaker Of The House,"Awake, Asleep_Speaker Of The House"
641,11722,1.0,1.0,2.0,Paranoid Android - Remastered_Radiohead,Paranoid Android (remastered)_Radiohead
641,11723,1.0,1.0,2.0,Paranoid Android - Remastered_Radiohead,Paranoid Android (remastered)_Radiohead
641,11724,1.0,1.0,2.0,Paranoid Android - Remastered_Radiohead,Paranoid Android (remastered)_Radiohead
641,11725,1.0,1.0,2.0,Paranoid Android - Remastered_Radiohead,Paranoid Android (remastered)_Radiohead
641,11726,1.0,1.0,2.0,Paranoid Android - Remastered_Radiohead,Paranoid Android (remastered)_Radiohead
641,11727,1.0,1.0,2.0,Paranoid Android - Remastered_Radiohead,Paranoid Android (remastered)_Radiohead
647,11828,1.0,1.0,2.0,"Rocket Man (i Think It's Going To Be A Long, Long Time)_Elton John",Rocket Man (i Think It's Going To Be A Long Long Time)_Elton John
648,11830,1.0,1.0,2.0,Scarborough Fair / Canticle_Simon & Garfunkel,Scarborough Fair/canticle_Simon & Garfunkel
651,11873,1.0,1.0,2.0,Castles Made Of Sand - Live_Red Hot Chili Peppers,Castles Made Of Sand - Live;_Red Hot Chili Peppers
659,12023,1.0,1.0,2.0,The Comeback Kid - Instrumental_The Midnight,The Comeback Kid (instrumental)_The Midnight
659,12024,1.0,1.0,2.0,The Comeback Kid - Instrumental_The Midnight,The Comeback Kid (instrumental)_The Midnight
659,12025,1.0,1.0,2.0,The Comeback Kid - Instrumental_The Midnight,The Comeback Kid (instrumental)_The Midnight
661,12078,1.0,1.0,2.0,Comfortable_Lil Wayne,Comfortable_Lil' Wayne
664,12115,1.0,1.0,2.0,Holiday / Boulevard Of Broken Dreams_Green Day,Holiday/boulevard Of Broken Dreams_Green Day
664,12116,1.0,1.0,2.0,Holiday / Boulevard Of Broken Dreams_Green Day,Holiday/boulevard Of Broken Dreams_Green Day
664,12117,1.0,1.0,2.0,Holiday / Boulevard Of Broken Dreams_Green Day,Holiday/boulevard Of Broken Dreams_Green Day
664,12118,1.0,1.0,2.0,Holiday / Boulevard Of Broken Dreams_Green Day,Holiday/boulevard Of Broken Dreams_Green Day
664,12119,1.0,1.0,2.0,Holiday / Boulevard Of Broken Dreams_Green Day,Holiday/boulevard Of Broken Dreams_Green Day
664,12120,1.0,1.0,2.0,Holiday / Boulevard Of Broken Dreams_Green Day,Holiday/boulevard Of Broken Dreams_Green Day
664,12121,1.0,1.0,2.0,Holiday / Boulevard Of Broken Dreams_Green Day,Holiday/boulevard Of Broken Dreams_Green Day
664,12122,1.0,1.0,2.0,Holiday / Boulevard Of Broken Dreams_Green Day,Holiday/boulevard Of Broken Dreams_Green Day
668,12142,1.0,1.0,2.0,Everything In It's Right Place_Christopher O'riley,Everything In Its Right Place_Christopher O'riley
673,12175,1.0,1.0,2.0,Wemoveforward - Instrumental_The Midnight,Wemoveforward (instrumental)_The Midnight
679,12231,1.0,1.0,2.0,Drop The World_Lil Wayne,Drop The World_Lil' Wayne
679,12232,1.0,1.0,2.0,Drop The World_Lil Wayne,Drop The World_Lil' Wayne
679,12233,1.0,1.0,2.0,Drop The World_Lil Wayne,Drop The World_Lil' Wayne
