,name,album,artist,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
109,Moon Miss America,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",222634,0,0.803,0.196,10,-21.568,0,0.0847,0.882,0.845,0.0932,0.173,100.0,4
110,Lower Molly,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",188755,0,0.146,0.0453,3,-26.435,1,0.0389,0.499,0.781,0.091,0.0397,74.365,4
111,"Water, Pt. 2",For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",461397,0,0.43,0.109,10,-16.7,0,0.0303,0.529,0.87,0.0896,0.0388,164.973,4
112,Questioned on Tape,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",150442,0,0.577,0.0278,10,-26.395,0,0.0407,0.995,0.903,0.104,0.162,95.008,4
113,Ants,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",188202,0,0.106,0.0462,0,-25.121,1,0.0438,0.596,0.753,0.0836,0.0263,90.712,4
114,Armed Booster / Another Ship,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",643242,0,0.306,0.274,7,-16.244,0,0.0409,0.522,0.923,0.127,0.0311,175.04,3
115,Lonely Research,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",181055,0,0.189,0.237,10,-17.659,0,0.0515,0.00271,0.881,0.107,0.0689,101.793,4
116,Ellen and Deke In Trouble,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",182975,0,0.352,0.0495,9,-27.218,1,0.0338,0.357,0.804,0.0795,0.0306,76.01,4
117,Career Over / No Russians,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",109023,0,0.158,0.127,10,-20.259,0,0.0411,0.924,0.99,0.11,0.0338,73.242,1
118,Landing,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",241194,0,0.316,0.253,10,-17.497,0,0.0419,0.61,0.943,0.179,0.0396,157.363,4
119,Smoke,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",149813,0,0.143,0.133,9,-15.123,0,0.0436,0.397,0.963,0.0784,0.0341,71.435,3
120,Von Braun,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",139762,0,0.237,0.241,10,-14.021,0,0.0318,0.598,0.901,0.287,0.0494,173.857,4
121,Flight Director,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",90564,0,0.477,0.141,5,-20.101,1,0.038,0.979,0.911,0.0945,0.0367,94.006,4
122,Lit Match,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",99760,0,0.44,0.0625,2,-18.79,0,0.0319,0.867,0.962,0.257,0.0396,88.916,4
123,Command Module Cobb,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",62869,0,0.199,0.0614,10,-23.84,1,0.0515,0.921,0.952,0.171,0.0356,111.273,1
124,Tribunal,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",208510,0,0.0708,0.244,10,-17.824,1,0.0454,0.764,0.96,0.0853,0.0379,67.921,4
125,Woman on the Moon,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",184060,0,0.341,0.0662,5,-16.802,0,0.0322,0.805,0.87,0.101,0.0577,87.985,4
126,For All Mankind Main Title,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",80253,20,0.191,0.221,10,-19.771,1,0.033,0.432,0.889,0.196,0.0919,150.009,4
127,For All Jazz-Kind,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",242239,12,0.617,0.128,10,-20.631,0,0.0434,0.94,0.921,0.0882,0.379,79.141,4
128,Race to the Moon (Piano Suite),For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",371153,9,0.432,0.0523,5,-22.361,0,0.0471,0.991,0.93,0.104,0.0398,69.475,4
129,Moon,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",39360,7,0.264,0.0715,5,-21.027,1,0.0428,0.959,0.055,0.15,0.0395,79.2,3
130,Heading for the Landing,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",159061,10,0.175,0.122,10,-17.172,0,0.0369,0.0725,0.973,0.104,0.0385,133.458,4
131,Heroes,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",144575,8,0.522,0.0864,10,-20.876,1,0.0435,0.966,0.435,0.139,0.0858,124.192,4
132,Hurry to Watch,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",90027,8,0.526,0.496,10,-13.793,0,0.032,0.949,0.855,0.0846,0.477,145.694,4
133,Karen and Ed,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",86272,7,0.166,0.0525,0,-21.729,1,0.0468,0.7,0.657,0.212,0.0306,108.066,3
134,"Water, Pt. 1",For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",152810,8,0.583,0.219,10,-17.544,1,0.038,0.564,0.83,0.0829,0.0366,152.458,5
135,Moon Miss America,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",222634,7,0.803,0.196,10,-21.568,0,0.0847,0.882,0.845,0.0932,0.173,100.0,4
136,Lower Molly,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",188755,6,0.146,0.0453,3,-26.435,1,0.0389,0.499,0.781,0.091,0.0397,74.365,4
137,"Water, Pt. 2",For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",461397,8,0.43,0.109,10,-16.7,0,0.0303,0.529,0.87,0.0896,0.0388,164.973,4
138,Questioned on Tape,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",150442,6,0.577,0.0278,10,-26.395,0,0.0407,0.995,0.903,0.104,0.162,95.008,4
139,Ants,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",188202,6,0.106,0.0462,0,-25.121,1,0.0438,0.596,0.753,0.0836,0.0263,90.712,4
140,Armed Booster / Another Ship,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",643242,6,0.306,0.274,7,-16.244,0,0.0409,0.522,0.923,0.127,0.0311,175.04,3
141,Lonely Research,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",181055,5,0.189,0.237,10,-17.659,0,0.0515,0.00271,0.881,0.107,0.0689,101.793,4
142,Ellen and Deke in Trouble,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",182975,5,0.352,0.0495,9,-27.218,1,0.0338,0.357,0.804,0.0795,0.0306,76.01,4
143,Career Over / No Russians,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",109023,5,0.158,0.127,10,-20.259,0,0.0411,0.924,0.99,0.11,0.0338,73.242,1
144,Landing,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",241194,7,0.316,0.253,10,-17.497,0,0.0419,0.61,0.943,0.179,0.0396,157.363,4
145,Smoke,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",149813,5,0.143,0.133,9,-15.123,0,0.0436,0.397,0.963,0.0784,0.0341,71.435,3
146,Von Braun,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",139762,9,0.237,0.241,10,-14.021,0,0.0318,0.598,0.901,0.287,0.0494,173.857,4
147,Flight Director,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",90564,5,0.477,0.141,5,-20.101,1,0.038,0.979,0.911,0.0945,0.0367,94.006,4
148,Lit Match,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",99760,5,0.44,0.0625,2,-18.79,0,0.0319,0.867,0.962,0.257,0.0396,88.916,4
149,Command Module Cobb,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",62869,5,0.199,0.0614,10,-23.84,1,0.0515,0.921,0.952,0.171,0.0356,111.273,1
150,Tribunal,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",208510,5,0.0708,0.244,10,-17.824,1,0.0454,0.764,0.96,0.0853,0.0379,67.921,4
151,Woman on the Moon,For All Mankind: Season 1 (Apple TV+ Original Series Soundtrack),Jeff Russo,2020-01-10,"['scorecore', 'soundtrack', 'video game music']",184060,5,0.341,0.0662,5,-16.802,0,0.0322,0.805,0.87,0.101,0.0577,87.985,4
152,Main Titles - Why Are We Here,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",296506,40,0.0629,0.183,0,-17.546,1,0.145,0.604,0.865,0.109,0.0273,69.583,4
153,Cosmic Pickup (Theme 5),Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",144573,8,0.278,0.15,9,-16.914,1,0.0325,0.958,0.964,0.126,0.0376,79.724,4
154,Running On The Track,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",45386,9,0.605,0.423,7,-16.422,1,0.0371,0.00248,0.955,0.119,0.377,99.998,4
155,Lucy’s Percussion,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",154240,7,0.774,0.346,2,-13.483,1,0.115,0.402,0.919,0.444,0.196,82.03,4
156,Suit Breach (NBL),Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",242226,6,0.156,0.149,2,-19.736,0,0.0379,0.686,0.87,0.083,0.0262,133.804,4
157,We Can Go To My Place,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",94693,5,0.326,0.0056,5,-33.685,1,0.0676,0.985,0.961,0.123,0.0365,73.92,3
158,The Wake,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",105373,5,0.226,0.0435,9,-27.103,0,0.0496,0.993,0.907,0.0675,0.0283,67.225,4
159,Feel The Feeling,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",60866,6,0.132,0.176,9,-24.186,1,0.0347,0.819,0.93,0.253,0.0432,88.436,4
160,Changing Clothes (Alt),Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",163120,5,0.121,0.113,0,-23.242,1,0.0412,0.773,0.888,0.12,0.0315,68.73,4
161,Inconsistent - Liftoff,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",181386,5,0.138,0.0494,0,-26.536,1,0.0335,0.862,0.94,0.11,0.0315,143.17,4
162,You’re Gonna Lose,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",72240,4,0.429,0.0426,2,-21.496,1,0.0413,0.788,0.903,0.107,0.0349,185.54,3
163,Airport Arrival,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",44186,4,0.164,0.0941,2,-15.642,1,0.0468,0.056,0.479,0.105,0.0256,80.242,5
164,Lucy Exits Car,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",51640,4,0.373,0.411,2,-15.289,0,0.0324,0.482,0.869,0.111,0.0383,92.829,4
165,Feel It All,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",277213,6,0.196,0.137,5,-21.493,1,0.0391,0.83,0.922,0.096,0.0294,104.986,4
166,Lucy’s Pressure (Theme 1 H&M Test),Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",539680,4,0.142,0.134,7,-21.137,0,0.0465,0.624,0.923,0.296,0.0329,102.239,4
167,Bees,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",68626,4,0.159,0.138,5,-23.309,1,0.0365,0.407,0.0417,0.0887,0.0345,134.938,4
168,Lucy’s Theme (Theme 4),Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",570693,5,0.136,0.114,0,-25.136,1,0.0555,0.472,0.873,0.0953,0.0361,67.128,3
169,Lucy Floats (Theme 2 OP 174),Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",398706,4,0.0653,0.0416,0,-24.972,1,0.0368,0.924,0.8,0.0958,0.0384,70.2,1
170,End Credits Suite,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",272146,5,0.115,0.0714,9,-18.693,1,0.0396,0.93,0.889,0.0951,0.0338,81.101,4
171,Lucy In The Sky With Diamonds,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",331866,17,0.297,0.192,7,-17.129,1,0.0349,0.931,0.333,0.129,0.0393,111.612,4
172,Insomnia II - Cocoon,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",119480,4,0.177,0.0886,7,-28.434,0,0.046,0.907,0.97,0.111,0.0363,70.647,1
173,Following Mark,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",62573,3,0.203,0.107,9,-26.971,1,0.0376,0.898,0.976,0.111,0.0383,87.349,3
174,Lucy’s Poem,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",127973,12,0.17,0.00273,0,-37.174,1,0.0451,0.989,0.781,0.065,0.0318,62.362,3
175,Back In Space,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",108360,11,0.222,0.333,0,-15.848,1,0.0392,0.655,0.894,0.108,0.0337,73.039,3
176,Homecoming,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",65533,5,0.164,0.162,4,-23.601,1,0.0415,0.818,0.961,0.107,0.0482,129.665,4
177,Butterfly,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",35146,4,0.252,0.0729,4,-28.184,0,0.0584,0.812,0.603,0.0927,0.0346,75.929,3
178,Someone Else,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",57200,3,0.17,0.0287,0,-31.212,1,0.0461,0.72,0.925,0.0888,0.0363,120.861,3
179,Bees - Alt Version,Lucy in the Sky (Original Motion Picture Soundtrack),Jeff Russo,2019-10-04,"['scorecore', 'soundtrack', 'video game music']",170293,5,0.0722,0.111,0,-16.547,1,0.0404,0.947,0.54,0.0585,0.0291,66.987,3
180,The Final Frontier,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",272495,16,0.188,0.112,10,-26.174,1,0.0439,0.872,0.882,0.0713,0.037,64.758,3
181,Christopher Pike,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",140600,11,0.171,0.126,7,-20.663,0,0.0354,0.712,0.86,0.11,0.0469,93.58,3
182,Lost Communication,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",130039,10,0.493,0.68,0,-9.628,0,0.0402,0.686,0.916,0.249,0.137,111.421,5
183,What’s Wrong,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",87573,9,0.606,0.336,5,-19.847,1,0.0379,0.887,0.91,0.113,0.341,84.039,4
184,All Of Them,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",160546,9,0.3,0.24,0,-17.297,0,0.0389,0.543,0.913,0.084,0.174,123.787,1
185,I’m Coming Back,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",99535,10,0.374,0.433,0,-12.923,0,0.0361,0.344,0.867,0.106,0.177,149.919,4
186,Flashback,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",210219,9,0.102,0.0436,0,-19.571,0,0.0383,0.98,0.931,0.142,0.0701,86.051,4
187,Stuck,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",103480,7,0.125,0.24,1,-14.89,1,0.0388,0.619,0.846,0.0998,0.0332,147.388,5
188,The Cathedral,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",172546,7,0.185,0.0148,2,-27.801,1,0.039,0.536,0.892,0.159,0.0337,64.581,4
189,He’ll Never Know Me,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",79586,8,0.226,0.226,1,-17.34,1,0.0479,0.894,0.964,0.0826,0.0393,69.655,3
190,The Sphere,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",44333,8,0.414,0.199,8,-17.533,1,0.0346,0.925,0.94,0.0887,0.0848,89.403,4
191,Quarantined,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",64013,7,0.187,0.112,5,-26.008,0,0.0389,0.806,0.945,0.101,0.0357,60.202,4
192,Shields,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",185493,8,0.363,0.13,0,-20.973,0,0.0351,0.572,0.891,0.106,0.0618,172.035,4
193,Questions,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",82826,7,0.192,0.104,8,-21.848,1,0.0405,0.905,0.925,0.111,0.0282,93.041,4
194,Prey,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",214146,7,0.173,0.366,5,-13.522,0,0.0372,0.267,0.77,0.119,0.0345,98.166,4
195,The Hull,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",246333,8,0.376,0.483,2,-11.984,1,0.0507,0.609,0.928,0.15,0.0929,154.915,1
196,Airlock,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",123520,7,0.455,0.412,2,-15.306,1,0.0384,0.594,0.852,0.101,0.0342,120.026,4
197,Ariam in Space,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",155600,10,0.188,0.0376,2,-22.414,0,0.0434,0.931,0.887,0.499,0.0368,120.73,4
198,Fiercely Loyal,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",186000,10,0.212,0.048,0,-23.155,0,0.0416,0.892,0.935,0.11,0.0357,59.847,4
199,Song of Remembrance,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",59640,12,0.229,0.0685,7,-18.238,0,0.0437,0.374,0.157,0.131,0.153,83.517,4
200,On Site,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",268653,7,0.267,0.23,8,-17.871,1,0.0331,0.221,0.946,0.0565,0.0369,67.624,4
201,Two Minutes,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",169160,6,0.479,0.481,7,-12.994,0,0.0365,0.309,0.907,0.0665,0.132,129.958,4
202,Big Picture,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",158866,7,0.154,0.142,9,-24.692,0,0.047,0.239,0.88,0.175,0.0298,68.834,4
203,Gone,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",286173,7,0.388,0.36,1,-14.366,1,0.0379,0.121,0.951,0.11,0.0386,142.88,4
204,What Do They Call You,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",98106,6,0.17,0.226,9,-19.567,1,0.044,0.607,0.835,0.0947,0.0316,125.407,1
205,Pillar of the Past,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",300706,6,0.151,0.116,7,-20.435,1,0.0373,0.404,0.865,0.0745,0.0349,136.373,4
206,Failure,Star Trek: Discovery (Season 2) [Original Series Soundtrack],Jeff Russo,2019-07-19,"['scorecore', 'soundtrack', 'video game music']",163640,7,0.194,0.419,7,-11.918,0,0.0347,0.503,0.805,0.0865,0.0387,139.737,3
